
                               MEMON COMMODITIES
                               SHOP # 11, ZEENAT EXTENTION, GATE-A,    
                               DENSO HALL, KARACHI                     

                               O F F E R   L I S T

               

     LIST # : 000096          DATE    :  21/05/2023          PAGE :    1
     +------+--------------------------------+-------------+------------+
     | CODE |           ITEM NAME            |    BONUS    |  DISCOUNT  |
     |0556  |QUMIC 500 TAB NEW NEW           |             |  24.00  %  |
     |0545  |RISEK ING NEW NEW               |             |  20.00  %  |
     |0352  |ROVISTA 5 NEW                   |             |   1.00  %  |
     |0396  |S-GLIPTIN 50MG                  |             |   5.00  %  |
     |0455  |SOFTINE F 120                   |             |   4.00  %  |
     |0162  |SOFVASC 10MG TAB NEW NEW        |             |   3.00  %  |
     |9779  |TAMSOL D CAP                    |             |  18.00  %  |
     |0560  |TIO VEEZ 18MG LARGE             |             |  12.00  %  |
     |0469  |TITAN 1GM INJ                   |             |  45.00  %  |
     |9812  |TREVIAMET XR 50/500             |             |   8.00  %  |
     |0068  |VELON 50/500MG                  |             |   6.00  %  |
     |0482  |VIGLIP 50 MG ATCO               |             |   5.00  %  |
     |0331  |VOCINTI 10MG                    |             |  17.00  %  |
     |0287  |XIB SYP                         |             |   5.00  %  |
     |0437  |ZAIBAN MARHAM                   |NET 82       |   0.00  %  |
     |031   |ZETRO 500MG TAB                 |             |   6.00  %  |
     |0309  |ZEZOT SYP LARGE                 |             |  10.00  %  |
                                                                  
     ABBOT HPD.DIV.                                    
     |582   |ARTIFEN 50MG TABLET             |             |   1.00  %  |
     |1713  |CITRO SODA 20'S LEMON           |             |   1.00  %  |
     |3308  |FLEXIN 500MG TAB.               |             |   5.00  %  |
     |5445  |MOKSI 400MG TAB.                |TP           |   0.00  %  |
     |7210  |PROTIUM TAB.ABBOTT              |TP           |   0.00  %  |
     |8434  |SURBEX Z TAB LARGE              |TP           |   0.00  %  |
     |8435  |SURBEX Z TABLET SMALL           |             |   1.00  %  |
     |9062  |VANCOMYCIN 1GM INJECTION        |             |   5.00  %  |
     |9063  |VANCOMYCIN 500MG INJ.ABBOT      |             |   4.00  %  |
                                                                  
     ABBOTT PHARMANET                                  
     |1162  |BRUFEN DS.SYP                   |NET 85       |   0.00  %  |
     |2836  |EPIVAL 250MG TABLET             |NET 800      |   0.00  %  |
     |36    |G T N CREAM                     |NET 200      |   0.00  %  |
     |4562  |KLARICID 250MG TABLET ABBOTT    |             |  -1.00  %  |
     |4563  |KLARICID 500MG TABLET ABBOTT    |TP           |   0.00  %  |
                                                                  
     ADAMJEE PHARMA                                    
     |6924  |PINIX 0.5MG ADAMJEE             |NET 176      |   0.00  %  |
     |7617  |RISP 1MG TAB.ADAMJEE            |             |   3.00  %  |
     |7618  |RISP 2MG TAB.ADAMJEE            |             |   3.00  %  |
     |7619  |RISP 3MG TAB.ADAMJEE            |             |   3.00  %  |
     |7620  |RISP 4MG TAB.ADAMJEE            |             |   3.00  %  |
     |7621  |RISP SYRUP ADAMJEE              |             |   3.00  %  |
                                                                  
     ALI GOHAR PHARMACEUTICALS                         
     |715   |AXID 20MG CAP.ALIGOHAR          |             |  10.00  %  |
     |1423  |CECLOR 125MG SYRUP ALIGOHAR     |             |   4.00  %  |
     |1425  |CECLOR 250MG CAPSULE ALIGOHAR   |             |   6.00  %  |
     |1604  |CHYMORAL FORTE ALI GOHAR        |             |   5.00  %  |
     |2556  |DOXIUM CAPSULE                  |             |   6.00  %  |
     |4990  |LUCAST 10MG TABLET              |             |   8.00  %  |
     |5249  |MELFAX 15MG TAB.ALIGOHAR        |             |   8.00  %  |
     |5250  |MELFAX 7.5MG TAB.ALIGOHAR       |             |   8.00  %  |
     |6584  |OSNATE-800 TABLET               |             |   8.00  %  |
     |6586  |OSNATE-D TABLET                 |             |   4.50  %  |
     |7588  |RIGIX SYRUP                     |             |   1.00  %  |
     |8095  |SINAXAMOL EXTRA                 |             |   8.00  %  |
     |8096  |SINAXAMOL PLAIN TAB.            |             |   8.00  %  |
     |8237  |SPASLER NEO TABLET              |             |   3.00  %  |
                                                                  
     ALINA COMBINE                                     
     |8033  |SEVENSEAS 60'S SMALL CAPSULE    |             |  20.00  %  |
                                                                  
     ALLERGAN                                          
     |3036  |EYEBRADEX EYE OINT              |             |   8.00  %  |
     |5531  |MOXIGAN DROP ALLERGAN           |             |  15.00  %  |
                                                                  
     AMARANT PHARMA                                    
     |5765  |NEORIS 3MG TAB.                 |             |   8.00  %  |
     |9786  |PAROXIN CR 25MG                 |             |   8.00  %  |
     |7993  |SERLIN 100MG TAB.               |             |   8.00  %  |
     |7994  |SERLIN 50MG TAB.3X10'S          |             |   8.00  %  |
     |9166  |VETRAWIN 250MG TAB.10'S         |             |   3.00  %  |
                                                                  
     AMSON                                             
     |4096  |HYZONATE 100MG INJECTION        |             |  18.00  %  |
     |4097  |HYZONATE 250MG INJECTION        |             |  18.00  %  |
                                                                  
     AQMAR PHARMA                                      
     |7288  |QAMBERI SACHET                  |             |   8.00  %  |
                                                                  
     ASIAN PHARMA                                      
     |4943  |LORIN TAB 30'S                  |             |   8.00  %  |
                                                                  
     ATCO LABORATORIES (LOCAL)                         
     |605   |ASCARD PLUS TAB.                |             |   2.00  %  |
     |624   |ATCAM 8MG TAB                   |             |  15.00  %  |
     |0100  |BYNEVOL 2.5 ATCO                |             |  12.00  %  |
     |0101  |BYNEVOL 5 ATCO                  |             |  12.00  %  |
     |1797  |CLOBEDERM LOTION ATCO           |             |   1.00  %  |
     |1945  |CONAZ LOTION                    |             |   1.00  %  |
     |2466  |DIOPLUS 10/160 TAB.             |             |  10.00  %  |
     |2467  |DIOPLUS 5/160 TAB.              |             |  10.00  %  |
     |2468  |DIOPLUS 5/80 TAB.               |             |  10.00  %  |
     |2492  |DISTALGESIC TAB                 |             |   6.00  %  |
     |3589  |GEMPID 600MG TABLET             |             |  10.00  %  |
     |5449  |MOM FOLIC TAB ATCO              |             |  15.00  %  |
     |6604  |OSSTIUM SACHET ATCO             |             |  16.00  %  |
     |7716  |ROVATOR 10MG TAB OLD            |             |   7.00  %  |
     |7717  |ROVATOR 20MG TAB.ATCO           |             |   7.00  %  |
     |7718  |ROVATOR 5MG TAB.ATCO            |             |   7.00  %  |
     |8482  |SYNGAB 100MG CAPSULE            |             |  16.00  %  |
     |8485  |SYNGAB 75MG CAP                 |             |  16.00  %  |
     |0531  |SYNGAP 25MG CAP                 |             |  16.00  %  |
     |8630  |TERBIDERM 125MG TABLET ATCO     |             |   3.00  %  |
     |8631  |TERBIDERM CREAM ATCO            |             |   2.00  %  |
     |8632  |TERBIDERM FORTE TAB.ATCO        |             |   1.00  %  |
     |9191  |VIGLIP M 50/500                 |             |   6.00  %  |
     |9192  |VIGLIP-M 50/1000                |             |   6.00  %  |
                                                                  
     AVENTIS                                           
     |295   |AMARYL 3MG TAB.AVENTIS          |TP           |   0.00  %  |
                                                                  
     BARRETT HODGSON PAKISTAN PVT                      
     |174   |AEROKAST 10MG FRESSH            |             |  12.00  %  |
     |173   |AEROKAST 10MG TABLET            |             |  25.00  %  |
     |176   |AEROKAST SACHET                 |             |  10.00  %  |
     |801   |BARILOL 5MG TAB                 |             |   5.00  %  |
     |802   |BARIMOX 400MG TAB               |             |  15.00  %  |
     |0140  |BARIZOL 600MG                   |             |  20.00  %  |
     |934   |BETALOC ZOK TAB 100MG           |             |   3.00  %  |
     |1520  |CEFSPAN DS SYRUP BARRET         |TP           |   0.00  %  |
     |1851  |CO-BARITEC 20MG BARRET          |             |   2.00  %  |
     |1852  |CO-BARITEC 40MG BARRET          |             |   2.00  %  |
     |2354  |DIABOLD 2MG TABLET BARRET       |             |  20.00  %  |
     |2356  |DIABOLD 4MG TABLET BARRET       |             |  25.00  %  |
     |2358  |DIABOLD PLUS 2MG+500MG TAB      |             |   2.00  %  |
     |2519  |DOMEL TABLET                    |             |  30.00  %  |
     |4257  |INOCEF 250 IV                   |FRESH        |  25.00  %  |
     |4258  |INOCEF 2GR IV INJ               |FRESH        |  25.00  %  |
     |4260  |INOCEF 500IV                    |FRESH        |  25.00  %  |
     |4263  |INOQUIN 250MG TABLET            |             |  15.00  %  |
     |4264  |INOQUIN 500MG TABLET            |             |  15.00  %  |
     |020   |IVEFER ING                      |             |  45.00  %  |
     |5217  |MEGAKLAR DS SYP                 |             |   5.00  %  |
     |5598  |MYLAXON TABLET BARRET           |             |  20.00  %  |
     |6873  |PERSCH 2MG TABLET 3493359-300   |             |  15.00  %  |
     |7004  |POLYFER FA TABLET               |             |   8.00  %  |
     |7688  |ROSUBAR 10MG TAB.BARRET         |             |   5.00  %  |
     |7768  |S-GLIPTIN 50/850MG TAB          |             |   5.00  %  |
     |7769  |S-GLIPTIN PLUS 50/500MG TAB     |             |  10.00  %  |
     |8243  |SPASRID INJECTION               |             |   8.00  %  |
     |8244  |SPASRID TABLET BARRET           |             |   2.00  %  |
     |9341  |VINJAC 1000MG INJ.              |             |  45.00  %  |
                                                                  
     BEECHAM                                           
     |668   |AUGMENTIN 375MG TAB.            |             |   0.50  %  |
     |669   |AUGMENTIN 625MG TAB.            |             |   2.00  %  |
     |672   |AUGMENTIN BD TAB.               |             |   2.00  %  |
     |9712  |ZYRTEC TABLET                   |             |   2.00  %  |
                                                                  
     BIOGENICS                                         
     |3264  |FIBROCOL SACHET ORANGE          |             |  13.00  %  |
     |3914  |HELEZOL 20MG CAPSULE            |             |  18.00  %  |
     |3915  |HELEZOL 40MG CAPSULE            |             |  26.00  %  |
                                                                  
     BOSCH PHARMA 0322-2004143DUO                      
     |256   |ALOC 180MG CAPSULE              |             |  13.00  %  |
     |23    |AVSAR PLUS 160/10/12.5          |             |   3.00  %  |
     |24    |AVSAR PLUS 5/160/12.5           |             |   3.00  %  |
     |825   |BEASY 10MG TABLET               |             |  16.00  %  |
     |826   |BEASY 4MG TABLET                |             |  16.00  %  |
     |828   |BEASY SACHET                    |             |   8.00  %  |
     |1229  |CALAMOX 1GM TABLET              |             |   3.00  %  |
     |1233  |CALAMOX 625MG TABLET            |             |   3.00  %  |
     |1234  |CALAMOX DROP 20ML               |             |   2.00  %  |
     |1231  |CALAMOX DS 90ML.                |             |   0.50  %  |
     |1228  |CALAMOX SYRP 90ML.              |             |   0.50  %  |
     |0387  |CEBOSH 200 CAP                  |             |  12.00  %  |
     |1417  |CEBOSH 200MG TABLET             |             |  17.00  %  |
     |1422  |CEBOSH DS DS SYRP               |             |  12.00  %  |
     |1421  |CEBOSH SYRUP 30ML SMALL         |             |  13.00  %  |
     |1505  |CEFOTAX .5G INJ                 |             |   3.00  %  |
     |1506  |CEFOTAX 0.25 INJECTION          |             |   3.00  %  |
     |1528  |CEFXONE 1GM IV INJECTION        |             |  28.00  %  |
     |1529  |CEFXONE INJ 0.25 IV             |             |  25.00  %  |
     |0411  |FLAZOL INJ                      |             |   2.00  %  |
     |3421  |FORTAZIM 0.5GM INJ.BOSCH        |             |  25.00  %  |
     |6157  |OGREL 75MG TAB BOSCH            |             |   6.00  %  |
     |6158  |OGREL PLUS-81 TAB               |             |   6.00  %  |
     |6361  |OLINC 300MG OLD INJECTION       |             |   8.00  %  |
     |6362  |OLINC 600MG INJECTION           |             |   7.00  %  |
     |9828  |PENRO 500MG INJESTION           |             |  16.00  %  |
     |7077  |PRELOX TABLET 100MG BOSCH       |             |  20.00  %  |
     |7290  |QBAL INJECTION                  |             |  18.00  %  |
     |7291  |QBAL TABLET                     |             |  17.00  %  |
     |7324  |QUINOFLOX 500MG BOSCH           |             |  25.00  %  |
     |0549  |QUMIC 250 NEW NEW               |             |  23.00  %  |
     |7715  |ROVA 20MG TAB.BOSCH             |             |   6.00  %  |
     |0145  |ROVA 5 TAB                      |             |   6.00  %  |
     |8207  |SOMEZOL 20MG CAPSULE            |             |  26.00  %  |
     |8208  |SOMEZOL 40MG CAPSULE            |             |  28.00  %  |
     |8540  |TANZO 4.5GM INJ FRESH           |             |  10.00  %  |
     |9560  |ZENTRO 20MG TAB.BOSCH           |             |  22.00  %  |
     |9561  |ZENTRO 40MG TAB.BOSCH           |             |  23.00  %  |
     |0137  |ZEZOT 250MG CAP                 |             |  10.00  %  |
     |9590  |ZEZOT 500MG CAP                 |             |  12.00  %  |
     |0093  |ZEZOT INJ                       |             |  10.00  %  |
     |9591  |ZEZOT SYP SMALL                 |             |  10.00  %  |
                                                                  
     CCL                                               
     |2073  |CRESTAT 10MG TABLET             |             |   4.00  %  |
     |2074  |CRESTAT 20MG TABLET             |             |   4.00  %  |
     |0397  |CRESTEAT 20MG OLD               |             |   3.00  %  |
     |2929  |ESPRA 40MG CAPSULE              |             |  14.00  %  |
     |3545  |GABLIN 150MG CAP.CCL            |30PSC 12     |   8.00  %  |
     |3546  |GABLIN 50MG CAP CCL             |             |   6.00  %  |
     |3547  |GABLIN 75MG CAP.CCL             |             |   6.00  %  |
     |0103  |JARDY MET 12.5/1000             |             |   8.00  %  |
     |0081  |JARDYMET 12.5/500 TAB           |             |   8.00  %  |
     |5959  |NOCLOT 75MG TABLET              |             |   3.00  %  |
     |6534  |ORINACE-MET 1MG TABLET          |             |   3.00  %  |
     |6535  |ORINACE-MET 2MG TABLET          |             |   3.00  %  |
     |6746  |PARAXYL CR 25MG CCL             |             |   5.00  %  |
     |6820  |PENRO 1G FREES INJ              |             |  16.00  %  |
     |8112  |SITA 100MG TAB.CCL              |             |   0.50  %  |
     |0084  |SITA MET 50 850MG               |             |   1.00  %  |
     |8114  |SITA MET 50/1000MG TAB.CCL      |             |   0.50  %  |
     |9033  |VALAM 5/160MG TAB.CCL           |             |   5.00  %  |
                                                                  
     CHIESI PHARMA                                     
     |1769  |CLENIL ARESOL 912.86            |             |  -1.00  %  |
     |1768  |CLENIL COMP 1124.16             |TP           |   0.00  %  |
                                                                  
     CIRIN                                             
     |4058  |HYCORTISONE 250MG INJ           |             |  28.00  %  |
                                                                  
     CONTINENTAL ASIAN                                 
     |4244  |INFLAMATIX 100MG TAB.           |             |   3.00  %  |
     |4942  |LORIN SYRUP CONTINENTAL         |             |   5.00  %  |
     |4950  |LOSANTA 50MG TAB.               |             |  18.00  %  |
     |5055  |MACROBAC 250MG CAPSULE          |             |   8.00  %  |
     |5056  |MACROBAC 500MG TAB.             |             |   8.00  %  |
     |7191  |PROSTREAT 0.4MG CAP.CONTI       |             |  10.00  %  |
     |9283  |VOREN 50MG TABLET               |             |   7.00  %  |
     |9284  |VOREN CAPSULE CONTINENTAL       |             |  15.00  %  |
     |9286  |VOREN INJECTION [L]             |             |   5.00  %  |
                                                                  
     CONTINENTAL PHARMA                                
     |2307  |DESORA 5MG TABLET               |             |   2.00  %  |
                                                                  
     E-MERCK/A.D. MARKER                               
     |2007  |COSOME-E SYRUP                  |             |   5.00  %  |
     |2943  |ESVIN 20MG CAP.                 |             |  15.00  %  |
     |3709  |GLIOPTIM 2MG TABLET             |             |   8.00  %  |
     |4559  |KLARIBACT 250MG TABLET MERCK    |             |  15.00  %  |
     |4784  |LEVOMERCK 250MG TAB MERCK       |             |  15.00  %  |
     |4785  |LEVOMERCK 500MG TAB MERCK       |             |  15.00  %  |
     |5803  |NEUROBION INJECTION             |             |   1.00  %  |
     |5817  |NEUROMET INJECTION              |             |   7.00  %  |
     |6634  |OVI-F TAB.MERCK                 |             |   5.00  %  |
     |6773  |PCAM GEL                        |             |  15.00  %  |
                                                                  
     E.Q DIAPER                                        
     |2662  |EMPA 25MG CAP                   |             |   2.00  %  |
     |2661  |EMPA M 12.500 TAB               |             |   1.00  %  |
     |2663  |EMPAA 10MG TAB                  |             |   1.00  %  |
                                                                  
     EFROZE CHEMICAL                                   
     |1981  |CORBIS 2.5MG TAB.               |             |  18.00  %  |
     |1982  |CORBIS 5MG TAB'S                |             |  18.00  %  |
     |8802  |TRAMAPAR TAB.EFROZE             |             |  13.00  %  |
     |0278  |VALCARD 10/160MG                |             |  25.00  %  |
                                                                  
     FEROZSONS                                         
     |121   |ACYLEX 400MG TABLET             |             |   2.00  %  |
     |7311  |QUENCH CREAM 15GM SMALL         |             |   2.00  %  |
                                                                  
     GALAXY PHARMA                                     
     |0454  |ABOCAL TAB NEW                  |             |   3.00  %  |
                                                                  
     GENIX PHARMA                                      
     |1167  |BTNO 10MG TABLET                |             |   5.00  %  |
     |1169  |BTNO SYRUP 120 ML               |             |   6.00  %  |
     |2153  |D4U 5MG INJ                     |             |  15.00  %  |
     |9817  |D4U TAB 11111                   |             |   5.00  %  |
     |2268  |DEPSIT 10MG TAB.GENIX           |             |   5.00  %  |
     |2270  |DEPSIT 5MG TAB.GENIX            |             |   5.00  %  |
     |2456  |DIMIS 50MG TAB.GENIX            |             |   6.00  %  |
     |2457  |DIMIS 75MG TAB.GENIX            |             |   6.00  %  |
     |9733  |GEBON TABLET                    |             |   6.00  %  |
     |3594  |GEN-M 20/120MG                  |             |   3.00  %  |
     |3597  |GEN-M DS SYRUP                  |             |   2.00  %  |
     |3600  |GEN-M SYRUP SMALL 30ML          |             |   2.00  %  |
     |3826  |GVIA-M 50/1000 TAB              |             |   7.00  %  |
     |3827  |GVIA-M 50/500MG NEW             |             |   8.00  %  |
     |4667  |LALAP 100MG TAB.                |             |   1.00  %  |
     |4668  |LALAP 150MG TAB GENIX           |             |   4.00  %  |
     |0477  |LETS 2.5 TAB                    |             |  16.00  %  |
     |6371  |OMC-D TABLET                    |             |  20.00  %  |
     |7507  |RESPICARE 10MG TAB.             |             |  10.00  %  |
     |0097  |VELON M 50/1000                 |             |   6.00  %  |
     |0070  |VELON-M 50/850                  |             |   6.00  %  |
     |0516  |XYTOL 1GRM                      |             |  15.00  %  |
                                                                  
     GETZ MULLER                                       
     |156   |ADVANT 16MG OLD TABLET          |             |   2.00  %  |
     |1471  |CEFIGET 30ML SYRUP GETZ         |             |   6.00  %  |
     |1472  |CEFIGET 400MG CAPSULE GETZ      |             |   8.00  %  |
     |0461  |CEFIGET DS NEW RAT              |             |   7.00  %  |
     |1536  |CELBEXX 100MG CAPSULE           |             |   6.00  %  |
     |1537  |CELBEXX 200MG CAPSULE           |             |   7.00  %  |
     |1643  |CIPESTA 250MG TAB               |             |   3.00  %  |
     |1644  |CIPESTA 500MG TAB               |             |   7.00  %  |
     |1743  |CLARITEK 125MG SYRUP GETZ       |             |   3.00  %  |
     |1745  |CLARITEK 250MG TAB.GETZ         |             |   3.00  %  |
     |1746  |CLARITEK 500MG TAB.GETZ         |             |   6.00  %  |
     |1747  |CLARITEK DROP                   |             |   3.00  %  |
     |1748  |CLARITEK XL TAB.                |             |   2.00  %  |
     |0306  |CORE 24 NEW                     |             |  10.00  %  |
     |0458  |COVA 80MG TAB                   |             |   5.00  %  |
     |0507  |DIAMPA 10MG                     |             |   3.00  %  |
     |0113  |EBAGET D 10MG                   |             |   6.00  %  |
     |3191  |FENOGET 67MG TABLET             |             |   2.00  %  |
     |3240  |FEXET 120MG TABLET GETZ         |             |   5.00  %  |
     |3242  |FEXET 60MG TABLET GETZ          |             |   4.00  %  |
     |3533  |GABICA 100MG CAP.GETZ           |             |   5.00  %  |
     |3535  |GABICA 300MG CAP.GETZ           |             |   2.00  %  |
     |3537  |GABICA 75MG CAP                 |CUT          |   5.00  %  |
     |3652  |GETFORMIN 1MG TABLET            |             |   2.00  %  |
     |3653  |GETFORMIN 2MG TABLET            |             |   2.00  %  |
     |3660  |GETRYL 2MG TAB.GETZ             |             |   3.00  %  |
     |4281  |INSUGET 70/30 INJECTION         |FRESH        |   8.00  %  |
     |4282  |INSUGET N INJECTION             |             |  10.00  %  |
     |4283  |INSUGET R INJECTION             |             |  10.00  %  |
     |4739  |LEFLOX 250MG TAB.               |20PSC 5      |   0.00  %  |
     |4741  |LEFLOX 750MG TAB.GETZ           |CUT          |   7.00  %  |
     |4742  |LEFLOX INECTION 500MG           |             |  15.00  %  |
     |4848  |LIPIGET 10GM TAB.GETZ           |             |   3.00  %  |
     |4851  |LIPIGET 20MG TB NEW             |             |   6.00  %  |
     |4850  |LIPIGET 40MG TAB.GETZ           |             |   1.00  %  |
     |5113  |MASACOL 400MG TAB.GETZ          |             |   2.00  %  |
     |5114  |MASACOL 800MG TABLET            |             |   2.00  %  |
     |5172  |MEBEVER 200MG CAPSULE           |             |   3.00  %  |
     |5475  |MONTIGET 5MG TAB.GETZ           |             |   3.00  %  |
     |5476  |MONTIGET SACHET GETZ            |             |   3.00  %  |
     |5532  |MOXIGET INJECTION               |             |  15.00  %  |
     |5533  |MOXIGET TAB.GETZ                |             |   6.00  %  |
     |5784  |NERVON INJECTION                |             |  12.00  %  |
     |5870  |NEXUM 20MG CAP.GETZ             |20PSC 8      |   6.00  %  |
     |5871  |NEXUM 40MG CAP.GETZ             |20PSC 8      |   6.00  %  |
     |5919  |NIMIXA 200MG TAB.               |             |   2.00  %  |
     |0126  |NIMIXA 55O NEW TAB              |             |   3.00  %  |
     |6730  |PANTRA PLUS TAB                 |             |   3.00  %  |
     |9813  |RAZODEX 30MG                    |             |   3.00  %  |
     |9814  |RAZODEX 60MG                    |             |   3.00  %  |
     |7450  |REGASTA 50MG TAB GETZ           |             |   6.00  %  |
     |7721  |ROVISTA 20MG TAB.GETZ           |             |   1.00  %  |
     |0428  |SILOREP 8MG                     |             |   3.00  %  |
     |8184  |SOLIFEN 10MG TABLET             |             |   3.00  %  |
     |8185  |SOLIFEN 5MG TAB.GETZ            |             |   3.00  %  |
     |8527  |TAMSOLIN 0.4MG CAP              |             |   8.00  %  |
     |024   |TAMSOLIN PLUS 0.4=0.5MG         |             |   8.00  %  |
     |0224  |TAMSOLINE SS                    |             |   3.00  %  |
     |8553  |TASMI 20MG TAB.GETZ             |             |   6.00  %  |
     |8554  |TASMI 40MG TAB.GETZ             |             |   6.00  %  |
     |0065  |TIOGET 18MG                     |             |  10.00  %  |
     |8830  |TREVIAMET 50/1000MG TAB.GETZ    |             |   2.00  %  |
     |8831  |TREVIAMET 50/500MG TAB.GETZ     |             |   4.00  %  |
     |9754  |TREVIAMET 50MG 850MG            |             |   3.00  %  |
     |0462  |TREVIAMET XR 50MG 1000MG        |             |   8.00  %  |
     |9396  |XALTIDE INHALER                 |             |   2.00  %  |
     |9507  |ZAVGET 10MG TABLET              |             |   6.00  %  |
     |0127  |ZETRO 25OMG NEW                 |             |   4.00  %  |
     |9587  |ZETRO SYRUP GETZ                |             |   2.00  %  |
                                                                  
     GETZ SCILIFE                                      
     |616   |ASTHIVEN 10MG TAB               |             |   6.00  %  |
     |9759  |COVAM 5/160 TAB                 |             |   3.00  %  |
     |9760  |COVAM 5/80 TAB                  |             |   3.00  %  |
     |7882  |SCIPRIDE 25MG TAB.SCILIFE       |             |   8.00  %  |
                                                                  
     GLAXXO END WELLCOME LABORTRIES                    
     |450   |ANGISED TABLET                  |NET 80       |   0.00  %  |
     |948   |BETNESOL TABLET                 |NET 200      |   0.00  %  |
     |954   |BETNOVATE-N OINT.GLAXXO         |             |   1.00  %  |
     |9602  |ZINACEF 750MG INJECTION         |             |  -1.00  %  |
                                                                  
     GLOBAL HEALTHCARE                                 
     |1285  |CALTRAMAG-D TAB.                |             |  10.00  %  |
     |0106  |CENTOTABS                       |             |  10.00  %  |
     |0108  |D3 ACTIVE                       |             |  10.00  %  |
     |3859  |HAIR GRO CAPSULE                |             |  10.00  %  |
     |0105  |KOZIVIT CAP                     |             |  10.00  %  |
                                                                  
     HAMDARD                                           
     |4456  |KALV SACHE CCL                  |             |  20.00  %  |
                                                                  
     HEALTH AID CRAFTS                                 
     |0514  |BMD MAX TAB                     |             |  32.00  %  |
     |3086  |FAMICOL CAPSULE                 |             |  15.00  %  |
     |3087  |FAMICOL FORTE CAP               |             |  15.00  %  |
     |3862  |HAIR VIT CAPSULE                |             |  13.00  %  |
                                                                  
     HELIXPHARMA 0321-3781217                          
     |1866  |CO-METHER FORT 80/480 TAB       |             |  17.00  %  |
     |017   |JUVIA M 50/500                  |             |   8.00  %  |
     |5310  |METHER 20/120 CAPSULE           |             |  15.00  %  |
     |5964  |NOGERD 50MG TABLET              |             |  14.00  %  |
     |5965  |NOGERD SR CAPSULE               |             |  12.00  %  |
     |6828  |PENTOXOL M TAB NEW              |             |   2.00  %  |
     |7425  |RECEPT 4MG TABLET HELIX         |             |  20.00  %  |
     |0388  |VPN -20MG                       |             |   8.00  %  |
                                                                  
     HIGH-Q APEX                                       
     |2191  |DAYLINE 1GM IV INJECTION        |             |   1.00  %  |
     |2193  |DAYLINE 250 IV INJECTION        |             |   1.00  %  |
     |2195  |DAYLINE 500 IV INJECTION        |             |   1.00  %  |
     |9826  |DAYZONE 1GM                     |             |   1.00  %  |
     |0408  |ESKEM 40 INJ                    |TP           |   0.00  %  |
