Code,Item Name,Trader,Offer,Bonus,T.P
1344,DERMITAR SHAMPOO,RAYUON SKIN CARE,10.00%,,272.00
7783,DUO ESS BAR,RAYUON SKIN CARE,10.00%,,187.00
3807,OLIDERM BAR (RAYNON,RAYUON SKIN CARE,10.00%,,212.50
7695,SCABIX LOTION,RAYUON SKIN CARE,10.00%,,204.00
7699,SCABIX PLUS LOTION,RAYUON SKIN CARE,10.00%,,221.00
4652,SCABIX SOAP,RAYUON SKIN CARE,15.00%,,191.25
296,APRANAX 550MG TAB +,ROCHE,3.00%,,329.68
2915,LEXOTANIL TAB (ROCHE) +,ROCHE,19.00%,,477.48
4513,ROCEPHIN 1G IV INJ,ROCHE,3.00%,,1057.51
4517,ROCEPHIN 500 IV INJ,ROCHE,3.00%,,507.82
7751,2SUM 1GM INJ,SAMI,5.00%,,352.75
7352,2SUM 2GM INJ,SAMI,5.00%,,454.75
3724,NOVIDAT 250MG TAB,SAMI,1.00%,,204.00
3725,NOVIDAT 500MG TAB.,SAMI,2.00%,,340.00
3727,NOVIDAT INJ 200MG,SAMI,4.00%,,246.50
3743,NOVOTEPH 40 MG CAPS,SAMI,8.00%,,378.25
3950,OXIDIL 1G ING IV,SAMI,5.00%,,352.75
5829,OXIDIL 250 INJ IV,SAMI,5.00%,,166.60
5830,OXIDIL 500 INJ IV,SAMI,5.00%,,238.00
7093,TONOFLOX-P TAB,SAMI,1.00%,,349.89
427,AZOMAX 250MG CAP,SANDOZ,5.00%,,590.33
6049,AZOMAX 500 TAB,SANDOZ,5.00%,,422.62
428,AZOMAX SYRUP,SANDOZ,5.00%,,318.75
7721,NAZE 2MG TAB,SCHAZOO,0.00%,244/NET,240.55
5226,TRAVOCORT CREAM +,SCHERING,5.00%,,178.50
6638,PENTOXOL-M 0.5/10MG TAB,SCOTMANN PHARMACEUTICALS,5.00%,,612.00
7327,SUNNY D STAT CAP,SCOTMANN PHARMACEUTICALS,4.00%,,297.50
7714,ADRONIL INJ 3MG/3ML,SEARLE,10.00%,,1896.55
6497,VITRUM TAB,SEARLE,5.00%,,298.20
3031,LUTEVIT PLUS SYRUP,SLIMIFIT INTERNATIONAL,25.00%,,297.50
3032,LUTEVIT PLUS TAB,SLIMIFIT INTERNATIONAL,25.00%,,582.25
7708,ACTALIN VICKS SOIS LIFE,SOIS LIFE SCIENCES,0.00%,60/NET,55.25
7710,EVERSEAS BLISTER SOIS LIF,SOIS LIFE SCIENCES,25.00%,,254.15
7711,EVERSEAS BOTTLE SOIS LIFE,SOIS LIFE SCIENCES,25.00%,,594.15
7641,FOLIC ACID SUOIS LIFE,SOIS LIFE SCIENCES,0.00%,60/NET,80.75
7709,PAIN GEL SOIS LIFE,SOIS LIFE SCIENCES,15.00%,,144.50
4851,SOFTIN TAB  +,WERRICK,1.00%,,80.50
3431,MYTIL 250MG TAB,WILSON'S,60.00%,,204.00
3432,MYTIL 500 MG TABS,WILSON'S,60.00%,,285.60
6249,WILGESIC FORT TAB,WILSON'S,17.00%,,772.00
